speed_avg,acc_avg_p,acc_avg_n,speed_var,acc_var_p,acc_var_n,labels
24.72958,0.46048,-0.27134,7.30196,0.3706,0.10067,0.0
7.55229,0.66802,-0.48649,12.00308,0.3009,0.36785,1.0
6.5157,0.71792,-0.46895,27.36684,0.55913,1.93869,1.0
7.631,0.60141,-0.42062,46.77807,0.24759,0.31844,2.0
11.47781,0.51221,-0.21356,30.24257,0.21782,0.12987,0.0
13.33065,0.46108,-0.36072,13.02782,0.10797,0.16757,0.0
12.13065,0.51216,-0.38172,31.28164,0.13036,0.26717,0.0
26.41525,0.39294,-0.26589,47.50179,0.09349,0.17797,0.0
23.25628,0.45357,-0.3178,83.55602,0.11743,0.26456,2.0
13.26267,0.65396,-0.57641,32.07279,0.31963,0.57265,0.0
7.6599,0.55353,-0.3627,23.50297,0.19697,0.18876,1.0
13.17274,0.49828,-0.30065,22.33219,0.12451,0.16711,0.0
15.59292,0.52851,-0.38991,48.84362,0.26698,0.3965,0.0
8.34867,0.67712,-0.56218,20.72896,0.57565,0.84098,1.0
7.86081,0.43281,-0.24467,4.48709,0.1308,0.112,1.0
11.2237,0.60502,-0.27896,20.45198,0.51963,0.25637,0.0
12.62104,0.47892,-0.31406,32.28068,0.11235,0.23212,0.0
13.74216,0.46023,-0.2915,27.30072,0.11564,0.12091,0.0
17.03627,0.31854,-0.15845,6.58582,0.0505,0.05486,0.0
15.92379,0.32096,-0.14812,6.56444,0.06017,0.13251,0.0
8.87868,0.49447,-0.4635,14.11022,0.11759,0.30514,1.0
10.57366,0.45905,-0.22171,17.04963,0.08398,0.09454,0.0
10.02696,0.59381,-0.47695,34.13504,0.14464,0.22189,0.0
15.79731,0.54423,-0.26729,42.94697,0.18632,0.21499,0.0
13.4417,0.55604,-0.3382,50.22409,0.488,0.3953,0.0
11.97007,0.60689,-0.41693,33.4776,0.19556,0.34396,0.0
13.03414,0.47062,-0.23115,26.93368,0.13985,0.10854,0.0
17.09151,0.38238,-0.21365,31.675,0.08082,0.14833,0.0
7.58972,0.617,-0.3771,19.0688,0.19223,0.26609,1.0
